,word,comp1,comp2,nt_prop,ot_prop,q_prop
0,beginning,-9.646622657775879,46.818809509277344,0.046508400306,0.01717899098,0.01137015025
1,god,44.71281814575195,17.773557662963867,0.99,0.429632342738,0.039115693768
2,created,-31.942594528198242,-3.0306408405303955,0.017874360858,0.01433448512,0.061723173726
3,heaven,46.240665435791016,17.73616600036621,0.192542001432,0.054157567356000004,0.026441803588000003
4,earth,-33.82769012451172,56.48917770385742,0.14672753837400002,0.11754941253,0.150782943014
5,form,-28.77286720275879,-7.13447380065918,0.014295105878000001,0.01216724256,0.012740300598
6,void,-14.909273147583008,28.17641258239746,0.012147552988,0.01257360054,0.011712687886
7,darkness,18.829397201538086,54.70384216308594,0.04579254931,0.024899792698,0.01993358968
8,face,24.805086135864258,8.745116233825684,0.050087655188000006,0.058492052476,0.021303739930000003
9,deep,-39.192386627197266,-14.437621116638184,0.015726807869999998,0.0174498963,0.01137015025
10,spirit,-2.700523614883423,47.645442962646484,0.196121256412,0.042914996576,0.018220901794000002
11,moved,42.417423248291016,-5.905531406402588,0.022169466736000003,0.01758534896,0.011027612712
12,waters,-39.30555725097656,-14.47870922088623,0.020737764744,0.046572218396,0.01137015025
13,light,18.897619247436523,55.16672897338867,0.07728999274199999,0.033839668258,0.036375393268
14,saw,37.59515380859375,-0.4897593557834625,0.167487216964,0.054157567356000004,0.022673890278
15,good,-7.412749290466309,82.79557800292969,0.18681519356200002,0.073798203154,0.10180006988599999
16,divided,-11.006804466247559,-44.45199203491211,0.022169466736000003,0.016772633,0.014110450848
17,called,28.67351531982422,-2.0137295722961426,0.173214024834,0.063368348334,0.024044040528
18,day,29.02461814880371,12.605378150939941,0.237640613592,0.20220732552,0.185379238076
19,night,40.269493103027344,31.79486656188965,0.053666910168,0.043050449236,0.044596294964
20,evening,39.554168701171875,33.052772521972656,0.014295105878000001,0.01704353832,0.014110450848
21,morning,40.0072021484375,32.97757339477539,0.02145361574,0.038309606038,0.024044040528
22,midst,52.41975784301758,-5.556005477905273,0.041497443432,0.053073946076,0.01993358968
23,second,-51.19890594482422,-31.302818298339844,0.037202337456,0.027473393238,0.012055225424
24,gathered,36.32797622680664,-22.381927490234375,0.04006574144,0.040205943376,0.017193289082
25,place,-1.2970662117004395,80.41777038574219,0.08444850260399998,0.092490670332,0.038430618692
26,dry,-33.00926971435547,-13.320433616638184,0.012147552988,0.01893987556,0.013082838136
27,land,44.46969223022461,-39.395145416259766,0.045076698314,0.235664132736,0.039458231404
28,appear,-41.15702438354492,-0.7271334528923035,0.027180423708,0.01379267448,0.014110450848
29,gathering,58.0203742980957,5.703243255615234,0.011431701992,0.01094816862,0.010685075174
30,bring,31.75714874267578,5.231360912322998,0.069415631884,0.09668970279199998,0.049049283448000004
31,forth,12.749385833740234,27.480161666870117,0.141000730504,0.10522322047,0.05864033559
32,seed,-31.374162673950195,-16.985403060913086,0.048655953294,0.040341396035999996,0.01137015025
33,fruit,-30.986175537109375,-14.31928825378418,0.05724616505,0.028963372498000003,0.019591052044000003
34,tree,-33.91099166870117,-23.135391235351562,0.045076698314,0.030317899098,0.016508213908
35,kind,-36.50450134277344,-17.870256423950195,0.015726807869999998,0.014740843100000001,0.023358965354
36,brought,32.53285598754883,0.5469454526901245,0.10449233019799999,0.10874498963,0.040828381654
37,lights,-32.1456413269043,-5.426246643066406,0.012147552988,0.0106772633,0.010342537538000001
38,signs,-33.803428649902344,29.71689796447754,0.025748721715999998,0.01392812714,0.12509262492
39,days,23.502933502197266,4.489325046539307,0.128115412674,0.10495231514999999,0.023016427816
40,years,-44.998695373535156,7.852534294128418,0.050803506184,0.075017277094,0.019591052044000003
41,great,53.535377502441406,-10.24690055847168,0.19111029944,0.10576503110999999,0.035690318094
42,greater,-43.362735748291016,44.013336181640625,0.040781592436,0.01433448512,0.018563439331999998
43,rule,-1.7689539194107056,39.32213592529297,0.020737764744,0.016637180340000002,0.010685075174
44,stars,-31.928462982177734,-5.284708499908447,0.020737764744,0.014605390440000001,0.014110450848
45,set,19.99342155456543,6.321909427642822,0.069415631884,0.092626122992,0.034662705381999996
46,fourth,29.94896125793457,-55.09455871582031,0.015726807869999998,0.020023496938,0.011027612712
47,abundantly,-29.193706512451172,-13.834322929382324,0.017158509862,0.0127090532,0.010685075174
48,creature,-28.979997634887695,-11.640012741088867,0.018590211853999998,0.0120317899,0.013082838136
49,life,24.84014320373535,22.28580093383789,0.142432432398,0.045624049776,0.08296050333599998
50,fly,20.819711685180664,42.651817321777344,0.011431701992,0.012844505860000001,0.011027612712
51,open,17.38280487060547,43.53171920776367,0.028612125602,0.023003455458,0.024386578164
52,living,-0.7886225581169128,44.34779357910156,0.037918188452,0.024357982058,0.01753582662
53,blessed,-6.684319972991943,59.622772216796875,0.07013148288,0.039257774658,0.01616567637
54,saying,35.88663101196289,17.900270462036133,0.334996347676,0.143962681426,0.026441803588000003
55,multiply,-32.83589553833008,-17.16258430480957,0.010715850996,0.01582446438,0.010342537538000001
56,fifth,29.887048721313477,-54.0905876159668,0.012147552988,0.01758534896,0.010685075174
57,cattle,-8.993278503417969,-37.86520767211914,0.010715850996,0.030317899098,0.021303739930000003
58,beast,49.34514617919922,36.66427230834961,0.043644996322,0.027879751218,0.010342537538000001
59,man,26.47817039489746,19.23448371887207,0.659276844454,0.257472011094,0.0798776652
60,image,-35.34063720703125,-47.0242805480957,0.027896274606,0.020023496938,0.010342537538000001
61,likeness,-30.155746459960938,-45.014373779296875,0.012863403984,0.01379267448,0.010685075174
